項目	類別	條件名稱 / 指標	定義說明	計算方式 / 觀測數據	參數調整建議 (Optimization)	專業備註 (Pro Tips)
12	市場情緒 (Sentiment)	恐懼與貪婪指數	綜合波動、社交媒體、搜尋趨勢的市場心理指標。	0（極度恐懼）到 100（極度貪婪）的權重評分。	低於 20 考慮買入（逆向），高於 80 考慮減碼。	適合用於**大週期（日線以上）**的倉位權重分配。
13	市場情緒 (Sentiment)	資金費率 (Funding Rate)	永續合約中多頭付給空頭（或反之）的利息。	交易所每 8 小時結算一次的費率。	費率過高（如 > 0.05%）代表市場過熱，易發生槓桿清算（多殺多）。	對於 BTC/ETH/ADA 這種高槓桿市場，這是必看的「空頭警報」。
14	鏈上數據 (On-chain)	交易所淨流入/出	資金從錢包轉入或轉出交易所的淨量。	$Inflow - Outflow$。數據來源如 CryptoQuant。	淨流入暴增通常代表拋售壓力增大（看空）；淨流出代表大戶提幣囤貨。	ADA 若出現大額淨流出，往往是主力吸籌完成的訊號。
15	鏈上數據 (On-chain)	MVRV 比率	市場市值與已實現市值的比率，判斷幣價是否低估。	$Market Cap / Realized Cap$。	MVRV < 1 代表持有者平均處於虧損，通常是歷史底部區。	這是捕捉「長線左側交易」（抄底）的神級指標。
16	替代數據 (Alt Data)	Google 趨勢 / 關鍵字	衡量一般大眾對特定幣種或關鍵字的關注度。	追蹤 "Bitcoin" 或 "ADA Price" 的搜尋熱度。	熱度突然翻倍且價格處於高位時，通常是散戶最後進場的訊號。	適合用於過濾虛假繁榮。
17	部位管理 (Sizing)	凱利公式 (Kelly Criterion)	根據勝率與盈虧比計算出最優的投注比例。	$f^* = (bp - q) / b$ (b:盈虧比, p:勝率, q:敗率)。	實戰通常使用 「半凱利」 或更保守的比例，以降低波動。	這是避免「破產風險」的數學終極方案。
18	部位管理 (Sizing)	波動率平衡 (Vol Targeting)	根據市場目前的波動程度自動調整倉位大小。	市場波動越大，倉位越小；波動縮小時則放大倉位。	參考 ATR 或隱含波動率 (IV)。	讓你的帳戶曲線（Equity Curve）走得更平穩，而不是暴漲暴跌。
19	風險控管 (Risk)	最大回撤 (Max Drawdown)	帳戶從最高點回落到最低點的最大幅度。	$(最高點 - 之後的最低點) / 最高點$。	一般量化策略容忍度設在 15-20%。超過則必須停機檢修。	這是量化交易員的命脈。 一旦 MDD 超過預期，代表市場環境已改變。
20	風險控管 (Risk)	追蹤止損 (Trailing Stop)	隨價格上漲自動上移的止損點。	距離最高價 N 個 ATR，或回檔 N% 處。	建議設為 $2.5 \sim 3.5 \times ATR$。	能夠保住獲利，並讓利潤在趨勢中奔跑（Let the profits run）。
21	策略評估 (Evaluation)	夏普比率 (Sharpe Ratio)	每承擔一單位風險所能獲得的超額報酬。	$(回報率 - 無風險利率) / 標準差$。	專業水平通常要求 $Sharpe > 1.5 \sim 2.0$。	數字越高代表賺錢過程越「優雅」，不心驚肉跳。
22	策略評估 (Evaluation)	利潤因子 (Profit Factor)	總盈利除以總虧損。	$Gross Profit / Gross Loss$。	至少要 $> 1.2$，優質策略通常在 $1.5 \sim 2.5$ 之間。	若此數值過高（如 > 5.0），極有可能是「過度擬合」或數據造假。
23	系統健壯性 (Robustness)	蒙地卡羅模擬	隨機打亂你的交易順序，看策略是否依然穩健。	透過計算機進行數千次隨機排列組合。	觀察在最差的 5% 情況下，帳戶是否會歸零。	確保你不是因為「運氣好」剛好避開連虧才賺錢。
24	動能 (Momentum)	ROC (變動率)	衡量價格在 N 天內的純粹漲跌幅，找出「速度」最快的幣。	$(當前價 / N天前價) - 1$	建議設定 14、28。尋找 ROC 曲線斜率陡峭上升的區段。	
25	動能 (Momentum)	MACD 柱狀體斜率	不看交叉，看柱狀體的「增長速度」。	$MACD Histogram$ 的一階導數。	觀察柱狀體是否由負轉正且「連續三根放大」。	
26	動能 (Momentum)	唐奇安通道 (Donchian)	經典的趨勢突破指標，捕捉大波段。	過去 N 天的最高價與最低價。	參數常用 20 或 55。突破上軌買入，跌破下軌賣出。	
27	波動 (Volatility)	VIX / 隱含波動率 (IV)	衡量市場對未來波動的預期（恐慌程度）。	期權權利金推算的波動率。	當 IV 處於歷史低位（20%以下）時，適合佈局突破策略。	
28	波動 (Volatility)	Keltner Channels	結合了均線與 ATR，比布林帶更貼合趨勢。	$EMA \pm (N \times ATR)$	建議用 $EMA(20)$ 與 $2 \times ATR$。突破通道通常是真突破。	
29	波動 (Volatility)	波動性切換 (Vol Switch)	區分市場處於「低波動蓄勢」還是「高波動釋放」。	比較短週期與長週期的標準差。	當 $Std(10) / Std(50) < 0.5$ 代表即將發生「波動性噴發」。	
